shop_id,shop_name,nkreview_source,nkreview_nick,nkreview_reg_date,nkreview_content
11,공방 꽃피는삼월에,네이버맵,7tl39qns,2022-05-27,리필스테이션은 처음 가봤는데 필요한만큼만 살수있다는게 정말 좋아요! 브리타 폐필터 수거도 하니까 두달에 한번정도는 방문할 것 같습니다~
14,그로잉,네이버맵,힐링탐험가,2022-03-19,"대구에 감각적인 제로웨이스트 가게가 생겨서 너무 좋아요 :) 제로웨이스트 용품이 다양해서 구경하는 재미도 있고, 멸균팩과 우유팩 10팩 이상 모아서 오면 아메리카노 무료로 제공해주는 것도 너무 좋았어요!  2층 카페 자리도 많고 메뉴들도 맛있어서 너무 만족하고 갑니다 (튀볶이 사랑이예요??) 자주 들릴게요 ~!"
14,그로잉,네이버맵,혜릿,2022-02-02,제로웨이스트 제품들 구경하기도 좋고 커피도 맛있어요! 라떼맛집 ??
14,그로잉,네이버맵,푸른봄봄,2022-09-25,카페가 아기자기 귀여워요 곳곳이 귀여운 포인트가 있어서 사진 찍기에도 좋고 추천해주신 샌드위치 너무 맛났고 음료들도 굿굿 1층 제로웨이스트샵에도 볼거리가 있어서 또 방문하고 싶은 카페예요 ♡
14,그로잉,네이버맵,코코9339,2022-03-01,제로웨이스트 제품 판매 뿐 아니라 리필스테이션도 있어서 넘 좋았습니다 :) 떡볶이랑 프라이 羔
14,그로잉,네이버맵,오마이갓6248,2022-04-02,꼬숩라떼랑 바나나라떼 시켰고 나머지는 일행분과 있을때 찍은거라 잘모르겠는데좋아요일단 분위기가 원픽입니다
14,그로잉,네이버맵,에이치메이커,2021-10-26,카페 인테리어가 굉장히 예뻤어요. 조용하게 브런치 즐기기 좋을것같아요. 이날은 저녁에 샌드위치랑 즐겼지만^^;; 제로웨스트샵으로  텀블러나 다회용용기챙겨가면 할인도 해준다고 하니 참고하세요!!ㅎㅎ
14,그로잉,네이버맵,앵두하랑,2021-11-01,"푸른 식물이 가득한 감성적인 카페 그로잉은 사진보다 실제로 방문하면 더 예쁘고 좋은 것 같았어요. 개인적으로 음료도 깔끔하고 맛있어서 다음에 또 오고 싶은 곳이기도 해요ㅎㅎ 대구감성카페, 봉덕동카페를 찾으시거나 저처럼 힐링을 하고 싶으신다면 카페 그로잉 추천드려요.^^"
14,그로잉,네이버맵,앙큼불여우51,2022-03-23,넘 친절하시고 샌드위치도 맛있고 분위기도 좋았어요! 혼자 카공하러가도 힐링될것같은느낌! 집근처라서 한번가야지가야지 하다가 이제서야간게 아쉽네요
14,그로잉,네이버맵,석쫑,2022-10-10,맛있어요
14,그로잉,네이버맵,새하리80,2022-09-23,독특한 인테리어와 제로웨이스트샵도 있어서 좋아요!! 샌드위치랑 커피도 너무 맛있어요??
14,그로잉,네이버맵,림이티드80,2021-10-30,커피도 맛있고 공간이 편안해요 ㅎㅎ  야외정원은 특히 강아지도 동반할 수 있고 넘넘 맘에 듭니다. 분위기 있으면서 편안한 카페. 적당한 온도로 대응해주셔서 더 좋았어요. 또 가고 싶은 몇 안되는 카페예요??
14,그로잉,네이버맵,리원81,2022-04-28,가격은 비싸지만 나름 먹을만해요. 강아지 데리고 함 와야겠어요
